Template,Q,QNER,QNE,QURI,RP,ANE,AURI
<ENT> در چه شهری قرار دارد ؟, دول‌الان در چه شهری قرار دارد ؟,"[('دول\u200cالان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",دول‌الان,['http://fkg.iust.ac.ir/resource/دول\u200cالان'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان سردشت', 'بخش مرکزی شهرستان سردشت']","['http://fkg.iust.ac.ir/resource/شهرستان_سردشت', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_سردشت']"
<ENT> از توابع کدام شهر است ؟, لاکلایه از توابع کدام شهر است ؟,"[('لاکلایه', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",لاکلایه,['http://fkg.iust.ac.ir/resource/لاکلایه'],ns0__village,['شهرستان رودسر'],['http://fkg.iust.ac.ir/resource/شهرستان_رودسر']
<ENT> در چه منطقه ای است ؟, زیرجوبی در چه منطقه ای است ؟,"[('زیرجوبی', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",زیرجوبی,['http://fkg.iust.ac.ir/resource/زیرجوبی'],ns0__location_&_ns0__district_&_ns0__part,"['استان کرمانشاه', 'بخش مرکزی شهرستان روانسر']","['http://fkg.iust.ac.ir/resource/استان_کرمانشاه', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_روانسر']"
<ENT> ازکجا مدیریت می شود ؟, اسمیت اینترنشنال ازکجا مدیریت می شود ؟,"[('اسمیت', 'B_ent'), ('اینترنشنال', 'I_ent'), ('ازکجا', 'O'), ('مدیریت', 'O'), ('می', 'O'), ('شود', 'O'), ('؟', 'O')]",اسمیت اینترنشنال,['http://fkg.iust.ac.ir/resource/اسمیت_اینترنشنال'],ns0__headquarter,"['ایالات متحده آمریکا', 'شهرستان هریس  تگزاس']","['http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا', 'http://fkg.iust.ac.ir/resource/شهرستان_هریس،_تگزاس']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ هلن منکن کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('هلن', 'B_ent'), ('منکن', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",هلن منکن,['http://fkg.iust.ac.ir/resource/هلن_منکن'],ns0__deathPlace,"['ایالت نیویورک', 'نیویورک', 'ایالات متحده آمریکا']","['http://fkg.iust.ac.ir/resource/ایالت_نیویورک', 'http://fkg.iust.ac.ir/resource/نیویورک', 'http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا']"
<ENT> در چه منطقه ای است ؟, تیکو در چه منطقه ای است ؟,"[('تیکو', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",تیکو,['http://fkg.iust.ac.ir/resource/تیکو'],ns0__location_&_ns0__district_&_ns0__part,"['استان هرمزگان', 'بخش فین']","['http://fkg.iust.ac.ir/resource/استان_هرمزگان', 'http://fkg.iust.ac.ir/resource/بخش_فین']"
زادگاه  <ENT> کجاست ؟‌,زادگاه راب لو کجاست ؟‌,"[('زادگاه', 'O'), ('راب', 'B_ent'), ('لو', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",راب لو,['http://fkg.iust.ac.ir/resource/راب_لو'],ns0__birthPlace,['شارلوتزویل  ویرجینیا'],['http://fkg.iust.ac.ir/resource/شارلوتزویل،_ویرجینیا']
ژانر <ENT> چیست ؟,ژانر ران مکگاونی چیست ؟,"[('ژانر', 'O'), ('ران', 'B_ent'), ('مکگاونی', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]",ران مکگاونی,['http://fkg.iust.ac.ir/resource/ران_مکگاونی'],ns0__genre,"['هوی متال', 'ترش متال', 'اسپید متال']","['http://fkg.iust.ac.ir/resource/هوی_متال', 'http://fkg.iust.ac.ir/resource/ترش_متال', 'http://fkg.iust.ac.ir/resource/اسپید_متال']"
<ENT> در کجا به دنیا امده است؟, اسکار نیمایر در کجا به دنیا امده است؟,"[('اسکار', 'B_ent'), ('نیمایر', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",اسکار نیمایر,['http://fkg.iust.ac.ir/resource/اسکار_نیمایر'],ns0__birthPlace,['ریو دو ژانیرو'],['http://fkg.iust.ac.ir/resource/ریو_دو_ژانیرو']
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در مقصد نهایی نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('مقصد', 'B_ent'), ('نهایی', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",مقصد نهایی,['http://fkg.iust.ac.ir/resource/مقصد_نهایی'],ns0__starring,"['چد دنلا', 'شون ویلیام اسکات', 'الی لارتر', 'تونی تاد', 'کریستن کلوک', 'کر اسمیت', 'دوون ساوا']","['http://fkg.iust.ac.ir/resource/چد_دنلا', 'http://fkg.iust.ac.ir/resource/شون_ویلیام_اسکات', 'http://fkg.iust.ac.ir/resource/الی_لارتر', 'http://fkg.iust.ac.ir/resource/تونی_تاد', 'http://fkg.iust.ac.ir/resource/کریستن_کلوک', 'http://fkg.iust.ac.ir/resource/کر_اسمیت', 'http://fkg.iust.ac.ir/resource/دوون_ساوا']"
<ENT> از توابع کدام شهر است ؟, گاورسله از توابع کدام شهر است ؟,"[('گاورسله', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",گاورسله,['http://fkg.iust.ac.ir/resource/گاورسله'],ns0__village,['شهرستان خرم آباد'],['http://fkg.iust.ac.ir/resource/شهرستان_خرم\u200cآباد']
<ENT>  ساخت کجاست ؟, تی‌وی‌آر توسکان اسپید ۶ ساخت کجاست ؟,"[('تی\u200cوی\u200cآر', 'B_ent'), ('توسکان', 'I_ent'), ('اسپید', 'I_ent'), ('۶', 'I_ent'), ('ساخت', 'O'), ('کجاست', 'O'), ('؟', 'O')]",تی‌وی‌آر توسکان اسپید ۶,['http://fkg.iust.ac.ir/resource/تی\u200cوی\u200cآر_توسکان_اسپید_۶'],ns0__manufacturer,['تی وی آر'],['http://fkg.iust.ac.ir/resource/تی\u200cوی\u200cآر']
<ENT> چه ساز موسیقی  را خوب می‌ نوازد ؟, اسکا چه ساز موسیقی را خوب می‌ نوازد ؟,"[('اسکا', 'B_ent'), ('چه', 'O'), ('ساز', 'O'), ('موسیقی', 'O'), ('را', 'O'), ('خوب', 'O'), ('می\u200c', 'O'), ('نوازد', 'O'), ('؟', 'O')]",اسکا,"['http://fkg.iust.ac.ir/resource/اسکا', 'http://fkg.iust.ac.ir/resource/اسکاتی_مک\u200cکریری', 'http://fkg.iust.ac.ir/resource/اسکات_پوتسکی', 'http://fkg.iust.ac.ir/resource/اسکایلر_گری']",ns0__instrument,"['گیتار بیس', 'ساکسوفون', 'organ  music', 'پیانو', 'ترومپت', 'ترومبون', 'درام  ساز', 'گیتار', 'گیتار', 'آواز', 'گیتار', 'گیتار', 'پیانو']","['http://fkg.iust.ac.ir/resource/گیتار_بیس', 'http://fkg.iust.ac.ir/resource/ساکسوفون', 'http://fkg.iust.ac.ir/resource/organ_(music)', 'http://fkg.iust.ac.ir/resource/پیانو', 'http://fkg.iust.ac.ir/resource/ترومپت', 'http://fkg.iust.ac.ir/resource/ترومبون', 'http://fkg.iust.ac.ir/resource/درام_(ساز)', 'http://fkg.iust.ac.ir/resource/گیتار', 'http://fkg.iust.ac.ir/resource/گیتار', 'http://fkg.iust.ac.ir/resource/آواز', 'http://fkg.iust.ac.ir/resource/گیتار', 'http://fkg.iust.ac.ir/resource/گیتار', 'http://fkg.iust.ac.ir/resource/پیانو']"
<ENT> از توابع کدام شهر است ؟, تیشه‌کن از توابع کدام شهر است ؟,"[('تیشه\u200cکن', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",تیشه‌کن,['http://fkg.iust.ac.ir/resource/تیشه\u200cکن'],ns0__village,['شهرستان کرمانشاه'],['http://fkg.iust.ac.ir/resource/شهرستان_کرمانشاه']
زادگاه  <ENT> کجاست ؟‌,زادگاه جک کامینگز کجاست ؟‌,"[('زادگاه', 'O'), ('جک', 'B_ent'), ('کامینگز', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",جک کامینگز,['http://fkg.iust.ac.ir/resource/جک_کامینگز_(تنیس\u200cباز)'],ns0__birthPlace,"['نیو ساوت ولز', 'Wellington, New South Wales']","['http://fkg.iust.ac.ir/resource/نیو_ساوت_ولز', 'http://fkg.iust.ac.ir/resource/Wellington,_New_South_Wales']"
زادگاه  <ENT> کجاست ؟‌,زادگاه ریور ویپری کجاست ؟‌,"[('زادگاه', 'O'), ('ریور', 'B_ent'), ('ویپری', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",ریور ویپری,['http://fkg.iust.ac.ir/resource/ریور_ویپری'],ns0__birthPlace,"['اسپانیا', 'ایبیزا  اسپانیا']","['http://fkg.iust.ac.ir/resource/اسپانیا', 'http://fkg.iust.ac.ir/resource/ایبیزا،_اسپانیا']"
ستاره معروف <ENT> کیست ؟,ستاره معروف رابارب کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('رابارب', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",رابارب,['http://fkg.iust.ac.ir/resource/رابارب_(فیلم_۱۹۵۱)'],ns0__starring,"['ری میلند', 'جین لوکارت', 'جن استرلینگ']","['http://fkg.iust.ac.ir/resource/ری_میلند', 'http://fkg.iust.ac.ir/resource/جین_لوکارت', 'http://fkg.iust.ac.ir/resource/جن_استرلینگ']"
<ENT> در چه شهری قرار دارد ؟, کلاته حاجی شیرمحمد در چه شهری قرار دارد ؟,"[('کلاته', 'B_ent'), ('حاجی', 'I_ent'), ('شیرمحمد', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",کلاته حاجی شیرمحمد,['http://fkg.iust.ac.ir/resource/کلاته_حاجی_شیرمحمد'],ns0__location_&_ns0__district_&_ns0__part,"['بخش میان جلگه', 'استان خراسان رضوی']","['http://fkg.iust.ac.ir/resource/بخش_میان\u200cجلگه', 'http://fkg.iust.ac.ir/resource/استان_خراسان_رضوی']"
<ENT> در کجا به دنیا امده است؟, کلر فوی در کجا به دنیا امده است؟,"[('کلر', 'B_ent'), ('فوی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",کلر فوی,['http://fkg.iust.ac.ir/resource/کلر_فوی'],ns0__birthPlace,"['استاک پورت', 'انگلستان', 'منچستر بزرگ']","['http://fkg.iust.ac.ir/resource/استاک\u200cپورت', 'http://fkg.iust.ac.ir/resource/انگلستان', 'http://fkg.iust.ac.ir/resource/منچستر_بزرگ']"
کتاب <ENT> را چه کسی نوشته است ؟‌,کتاب چهار اتاق را چه کسی نوشته است ؟‌,"[('کتاب', 'O'), ('چهار', 'B_ent'), ('اتاق', 'I_ent'), ('را', 'O'), ('چه', 'O'), ('کسی', 'O'), ('نوشته', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",چهار اتاق,['http://fkg.iust.ac.ir/resource/چهار_اتاق'],ns0__writer,"['کوئنتین تارانتینو', 'آلکساندر راکول', 'رابرت رودریگز', 'الیسون آندرس']","['http://fkg.iust.ac.ir/resource/کوئنتین_تارانتینو', 'http://fkg.iust.ac.ir/resource/آلکساندر_راکول', 'http://fkg.iust.ac.ir/resource/رابرت_رودریگز', 'http://fkg.iust.ac.ir/resource/الیسون_آندرس']"
<ENT> به کدام تیره تعلق دارد؟, لاله واژگون کاکائویی به کدام تیره تعلق دارد؟,"[('لاله', 'B_ent'), ('واژگون', 'I_ent'), ('کاکائویی', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",لاله واژگون کاکائویی,['http://fkg.iust.ac.ir/resource/لاله_واژگون_کاکائویی'],ns0__order_&_ns0__family_&_ns0__genus,"['سوسن سانان', 'سوسنیان', 'لاله واژگون']","['http://fkg.iust.ac.ir/resource/سوسن\u200cسانان', 'http://fkg.iust.ac.ir/resource/سوسنیان', 'http://fkg.iust.ac.ir/resource/لاله_واژگون']"
<ENT> به چه جنسی تعلق دارد ؟, اسکنبیل یزدی به چه جنسی تعلق دارد ؟,"[('اسکنبیل', 'B_ent'), ('یزدی', 'I_ent'), ('به', 'O'), ('چه', 'O'), ('جنسی', 'O'), ('تعلق', 'O'), ('دارد', 'O'), ('؟', 'O')]",اسکنبیل یزدی,['http://fkg.iust.ac.ir/resource/اسکنبیل_یزدی'],ns0__order_&_ns0__family_&_ns0__genus,"['میخک سانان', 'Polygonoideae', 'هفت بندیان', 'اسکنبیل  سرده']","['http://fkg.iust.ac.ir/resource/میخک\u200cسانان', 'http://fkg.iust.ac.ir/resource/Polygonoideae', 'http://fkg.iust.ac.ir/resource/هفت\u200cبندیان', 'http://fkg.iust.ac.ir/resource/اسکنبیل_(سرده)']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ رایکو میتیچ کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('رایکو', 'B_ent'), ('میتیچ', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",رایکو میتیچ,['http://fkg.iust.ac.ir/resource/رایکو_میتیچ'],ns0__deathPlace,"['بلگراد', 'صربستان']","['http://fkg.iust.ac.ir/resource/بلگراد', 'http://fkg.iust.ac.ir/resource/صربستان']"
آهنگسازی آهنگ  <ENT>  به عهده ی چه کسی بوده؟,آهنگسازی آهنگ گاوچران شهری به عهده ی چه کسی بوده؟,"[('آهنگسازی', 'O'), ('آهنگ', 'O'), ('گاوچران', 'B_ent'), ('شهری', 'I_ent'), ('به', 'O'), ('عهده', 'O'), ('ی', 'O'), ('چه', 'O'), ('کسی', 'O'), ('بوده؟', 'O')]",گاوچران شهری,['http://fkg.iust.ac.ir/resource/گاوچران_شهری'],ns0__musicComposer,['رالف برنز'],['http://fkg.iust.ac.ir/resource/رالف_برنز']
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در جک غول‌کش نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('جک', 'B_ent'), ('غول\u200cکش', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",جک غول‌کش,['http://fkg.iust.ac.ir/resource/جک_غول\u200cکش_(فیلم_۲۰۱۳)'],ns0__starring,"['نیکولاس هولت', 'النور تاملینسون', 'یوان مک گرگور', 'ایان مک شین', 'بیل نای  بازیگر', 'استنلی توچی', 'ادی مارسن']","['http://fkg.iust.ac.ir/resource/نیکولاس_هولت', 'http://fkg.iust.ac.ir/resource/النور_تاملینسون', 'http://fkg.iust.ac.ir/resource/یوان_مک\u200cگرگور', 'http://fkg.iust.ac.ir/resource/ایان_مک\u200cشین', 'http://fkg.iust.ac.ir/resource/بیل_نای_(بازیگر)', 'http://fkg.iust.ac.ir/resource/استنلی_توچی', 'http://fkg.iust.ac.ir/resource/ادی_مارسن']"
<ENT> در چه منطقه ای است ؟‌, گاشربروم ۵ در چه منطقه ای است ؟‌,"[('گاشربروم', 'B_ent'), ('۵', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",گاشربروم ۵,['http://fkg.iust.ac.ir/resource/گاشربروم_۵'],ns0__location_&_ns0__district_&_ns0__part,"['گلگت بلتستان', 'پاکستان']","['http://fkg.iust.ac.ir/resource/گلگت-بلتستان', 'http://fkg.iust.ac.ir/resource/پاکستان']"
<ENT> ساخت کدام کارخانه است ؟, نیسان بول ساخت کدام کارخانه است ؟,"[('نیسان', 'B_ent'), ('بول', 'I_ent'), ('ساخت', 'O'), ('کدام', 'O'), ('کارخانه', 'O'), ('است', 'O'), ('؟', 'O')]",نیسان بول,['http://fkg.iust.ac.ir/resource/نیسان_بول'],ns0__manufacturer,['نیسان'],['http://fkg.iust.ac.ir/resource/نیسان']
ستاره معروف <ENT> کیست ؟,ستاره معروف دزد سوم کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('دزد', 'B_ent'), ('سوم', 'I_ent'), ('کیست', 'O'), ('؟', 'O')]",دزد سوم,['http://fkg.iust.ac.ir/resource/دزد_سوم'],ns0__starring,"['آرمان هوسپیان', 'سعید راد', 'ساقی', 'فریبا خاتمی', 'بهرام وطن پرست\u200f']","['http://fkg.iust.ac.ir/resource/آرمان_هوسپیان', 'http://fkg.iust.ac.ir/resource/سعید_راد', 'http://fkg.iust.ac.ir/resource/ساقی', 'http://fkg.iust.ac.ir/resource/فریبا_خاتمی', 'http://fkg.iust.ac.ir/resource/بهرام_وطن\u200cپرست\u200f']"
ستاره معروف <ENT> کیست ؟,ستاره معروف رهایی کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('رهایی', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",رهایی,['http://fkg.iust.ac.ir/resource/رهایی_(مجموعه_تلویزیونی)'],ns0__starring,"['امیرحسین مدرس', 'دانیال حکیمی', 'رضا توکلی', 'سام قریبیان', 'حسین سلیمانی', 'شاهد احمدلو', 'میترا حجار', 'سوگل طهماسبی', 'رامتین خداپناهی']","['http://fkg.iust.ac.ir/resource/امیرحسین_مدرس', 'http://fkg.iust.ac.ir/resource/دانیال_حکیمی', 'http://fkg.iust.ac.ir/resource/رضا_توکلی', 'http://fkg.iust.ac.ir/resource/سام_قریبیان', 'http://fkg.iust.ac.ir/resource/حسین_سلیمانی', 'http://fkg.iust.ac.ir/resource/شاهد_احمدلو', 'http://fkg.iust.ac.ir/resource/میترا_حجار', 'http://fkg.iust.ac.ir/resource/سوگل_طهماسبی', 'http://fkg.iust.ac.ir/resource/رامتین_خداپناهی']"
<ENT> در کجا متولد شد ؟, ریشارد مونش در کجا متولد شد ؟,"[('ریشارد', 'B_ent'), ('مونش', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",ریشارد مونش,['http://fkg.iust.ac.ir/resource/ریشارد_مونش'],ns0__birthPlace,"['امپراتوری آلمان', 'گیسن']","['http://fkg.iust.ac.ir/resource/امپراتوری_آلمان', 'http://fkg.iust.ac.ir/resource/گیسن']"
<ENT> در چه دسته ای قرار می گیرد ؟, نیپنتیز اپیفیتیکا در چه دسته ای قرار می گیرد ؟,"[('نیپنتیز', 'B_ent'), ('اپیفیتیکا', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",نیپنتیز اپیفیتیکا,['http://fkg.iust.ac.ir/resource/نیپنتیز_اپیفیتیکا'],ns0__order_&_ns0__family_&_ns0__genus,"['میخک سانان', 'گیاه پارچ', 'گیاه پارچ']","['http://fkg.iust.ac.ir/resource/میخک\u200cسانان', 'http://fkg.iust.ac.ir/resource/گیاه_پارچ', 'http://fkg.iust.ac.ir/resource/گیاه_پارچ']"
